Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,AgeGroup,IncomeBand,TenureGroup,EarlyCareerFlag,YearsWithoutPromotion,RoleTenureRatio,ManagerTenureRatio,CompanyExperienceRatio,OvertimeRiskFlag,SatisfactionIndex,CompaRatio,JobHopIntensity,StagnationRiskFlag
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,1,36-45,Upper-Middle,6-10 years,0,6,0.6666666666666666,0.8333333333333334,0.75,1,2.0,1.0891854104667595,0.8888888888888888,0
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0,46-55,Upper-Middle,6-10 years,0,9,0.7,0.7,1.0,0,3.0,0.9323412574160648,0.09090909090909091,0
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,1,36-45,Low,0-1 years,0,0,0.0,0.0,0.0,1,3.0,0.749933093018876,0.75,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0,26-35,Low,6-10 years,0,5,0.875,0.0,1.0,1,3.25,1.0438063959769905,0.1111111111111111,0
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0,26-35,Lower-Middle,2-3 years,0,0,1.0,1.0,0.3333333333333333,0,2.5,1.24438658688491,1.2857142857142858,0
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0,26-35,Lower-Middle,6-10 years,0,4,1.0,0.8571428571428571,0.875,0,3.25,1.100858722192302,0.0,0
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0,56+,Low,0-1 years,0,1,0.0,0.0,0.0833333333333333,1,1.75,0.9580484968231574,0.3076923076923077,0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0,26-35,Low,0-1 years,1,1,0.0,0.0,1.0,0,3.0,0.9663013490429824,0.5,0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0,36-45,High,6-10 years,0,8,0.7777777777777778,0.8888888888888888,0.9,0,3.0,0.9703326058179735,0.0,0
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,0,36-45,Upper-Middle,6-10 years,0,0,1.0,1.0,0.4117647058823529,0,2.5,0.9517877514791289,0.3333333333333333,0
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0,26-35,Low,4-5 years,0,5,0.8,0.6,0.8333333333333334,0,2.25,0.8704964993606665,0.0,0
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0,26-35,Lower-Middle,6-10 years,0,9,0.5555555555555556,0.8888888888888888,0.9,1,3.5,0.7620481271628771,0.0,0
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0,26-35,Low,4-5 years,1,1,0.4,0.6,1.0,0,2.5,1.0445240353004537,0.16666666666666666,0
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0,26-35,Low,2-3 years,1,1,1.0,1.0,0.6666666666666666,0,3.0,0.9548191198675737,0.0,0
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,1,26-35,Low,4-5 years,0,4,0.5,0.75,0.6666666666666666,1,2.75,0.7276862739915217,0.7142857142857143,0
